"card_codename","update_date","text_ruling","question","answer","nsg_rules_team_verified"
"ansel_1_0","2021-10-11","","Can the Runner use [Carnivore](/en/card/30003) if the last subroutine on [Ansel 1.0](/en/card/30038) resolved earlier in the run?","No. That subroutine prohibits the Runner from trashing cards they access in any way, not just by using the basic trash ability.","True"
"archangel","2017-04-09","When encountering an Archangel during access, the Runner follows
timing step 3 of a run, ignoring the portions about approaching ice/
the server. [Official FAQ]","","","False"
"archangel","2017-04-09","If Archangel is encountered while accessed and it is moved from
its position as determined when accessed (e.g., from R&D being
shuffled during the encounter or from Archangel being trashed from
HQ by [Utopia Shard](/en/card/06100) during the encounter), then the encounter
immediately ends and any currently open paid ability windows
close. [Official FAQ]","","","False"
"archangel","2017-04-09","Archangel is not considered to be rezzed during its encounter, and
cards that interact with rezzed cards, e.g., [Datasucker](/en/card/01008), cannot affect
it. [Official FAQ]","","","False"
"archer","2021-10-11","","Can the Corp use [Send a Message](/en/card/30069)’s ability to rez an [Archer](/en/card/31075) without forfeiting an agenda?","Yes. “Ignoring all costs” in [Send a Message](/en/card/30069)’s ability refers to both the rez cost of the ice and any additional costs.","True"
"archer","2022-04-23","","When the Corp has a scored [Braintrust](https://netrunnerdb.com/en/card/20094) with 1 agenda counter, and forfeits it to rez [Archer](), how much does the Corp pay for rezzing [Archer](https://netrunnerdb.com/en/card/31075)?","It costs 3<span class=""icon icon-credit""></span> plus the forfeit of [Braintrust](https://netrunnerdb.com/en/card/20094). The decision of what you use to pay is made upfront and then the cost is paid simultaneously. The [Braintrust](https://netrunnerdb.com/en/card/20094) ability applies while deciding what to pay for the cost.","True"
"architect","2017-04-28","NAPD Most Wanted List - Level 1: Each copy of this card costs 1 universal influence, which is separate & in addition to the normal printed influence, and counts against all Identities influence limits, even those in the same faction. [MWL v1.2]","","","False"
"architect_deployment_test","2019-04-27","","####[NISEI](http://nisei.net) [Downfall Release Notes](http://nisei.net/products/Downfall/DFReleaseNotes#QandAforDownfall) [NISEI Rules Team]
What happens to the cards the Corp looked at but did not install when resolving Architect Deployment Test’s ability?","They remain in R&D in the same order they were found.","False"
"ark_lockdown","2017-04-12","","####UFAQ [Michael Boggs]
Can the Corp name a card that is not in the heap when playing Ark Lockdown?","Yes. Abilities are only checked for their potential to change the game state to determine whether those abilities can be triggered. Once an ability begins resolving, it does not have to change the game state.","False"
"armed_intimidation","2018-03-02","","####[ANCUR](https://twitter.com/anr_ruleswiki) [UFAQ 21](http://ancur.wikia.com/wiki/Council_of_the_Crest_UFAQ) [Michael Boggs]
When the Corp scores Armed Intimidation, can the Runner choose either of the options then prevent/avoid the damage/tags?","Yes. The ability forces the Runner to choose one of the options, but once an option has been chosen, the resolution can still be modified or prevented.","False"
"armored_servers","2017-05-02","","####UFAQ [Michael Boggs]
Can the Corp use more than one Armored Servers during a run?","Yes. Both add an additional cost to jacking out or breaking subroutines, so the Runner would have to trash 2 cards from their grip whenever they wish to do one of those two things.

If the Runner wants use an ability that breaks multiple subroutines, must they trash a card from their grip for each subroutine that ability would break?","False"
"artificial_cryptocrash","2022-10-22","","What happens if the Corp scores [Artificial Cryptocrash](https://netrunnerdb.com/en/card/33049) when the Runner has fewer than 7<span class=""icon icon-credit"">?","The Runner loses all of their credits.","True"
"artist_colony","2017-05-01","","####UFAQ [Damon Stone]
Can the Runner use Artist Colony to search for a card they are unable to install (either because it’s an Event or because they can’t afford the install cost)?","Yes because Artist Colony does not restrict which card can be searched for. If the Runner cannot install the card, though, it will just get shuffled back into the stack.","False"
"aryabhata_tech","2017-05-02","","####UFAQ [Damon Stone]
If the Runner has 2<span class=""icon icon-credit""></span> when the trace on [Virgo](/en/card/06109) is successful, can the Runner avoid the tag with [New Angeles City Hall](/en/card/02109) before losing 1<span class=""icon icon-credit""></span> to Aryabhata Tech?","Yes. The “if successful” effects of a trace are constant effects, so they always resolve before any abilities triggered by the successful trace.

If the Runner has 4<span class=""icon icon-credit""></span> when the trace on Virgo is successful and boosted to at least trace strength 5, can the Runner avoid both tags with New Angeles City Hall before losing 1<span class=""icon icon-credit""></span> to Aryabhata Tech?","False"
"assimilator","2017-12-29","","####[ANCUR](https://twitter.com/anr_ruleswiki) UFAQ [Michael Boggs]
Can [Apex: Invasive Predator](/en/card/09029) use Assimilator to obtain non-virtual resources?","Yes.

What happens if the Runner uses Assimilator to flip up a console while a console is already installed?","False"
"asteroid_belt","2021-10-09","","If an [Asteroid Belt](07012) has 4 hosted advancement counters, how much does it cost to rez it during a run made with [Tread Lightly](30012)?","It would cost 0[c]. To determine what a cost is when effects are modifying its value, start with the default value for that cost ([Asteroid Belt](07012)’s printed rez cost is 9[c]), apply each effect that increases the cost ([Tread Lightly](30012) adds 3[c]), and then apply each effect that lowers the cost ([Asteroid Belt](07012)’s ability subtracts 3[c] for each hosted advancement counter).","False"
"audacity","2017-05-25","","####[ANCUR](https://twitter.com/anr_ruleswiki) UFAQ [Michael Boggs]
Does Audacity count itself toward the required number of cards in HQ?","Yes.","False"
"aumakua","2017-10-17","","####[ANCUR](https://twitter.com/anr_ruleswiki) UFAQ [Michael Boggs]
If there are cards installed in the root of a central server, how many times does Aumakua trigger?","Aumakua triggers once after the whole access step.

Does Aumakua trigger after the Runner accesses Archives?","False"
"authenticator","2017-05-25","","####[ANCUR](https://twitter.com/anr_ruleswiki) UFAQ [Michael Boggs]
Can the Runner avoid the tag from Authenticator and still bypass it?","If the Runner avoids the tag, then they have not paid the cost to bypass Authenticator and therefore do not bypass it.
 
If [Jesminder Sareen](/en/card/10006) has not previously avoided a tag this run and encounters Authenticator, can she bypass it?","False"
"avgustina_ivanovskaya","2022-09-10","","Does the Runner gain a credit when they sabotage and have [Demolisher](/en/card/26002) installed?","No, the Corp is trashing the cards when resolving a sabotage effect.","True"
"awakening_center","2017-04-09","Ice hosted on Awakening Center can be rezzed through other card
effects, but a rezzed piece of ice cannot be encountered unless it was
rezzed by Awakening Center. [Official FAQ]","","","False"
"awakening_center","2017-04-09","Only one piece of hosted ice on Awakening Center can be
encountered per run. [Official FAQ]","","","False"
"awakening_center","2017-04-09","Ice on Awakening Center are in the server and do not count as ice
protecting the server. [Official FAQ]","","","False"
"awakening_center","2021-10-11","","Can the Runner use [Tāo Salonga](/en/card/30019) to swap a piece of ice protecting a server with ice hosted on ​[Awakening Center​](/en/card/03021)?","Yes, but only if that piece of ice is a rezzed ​**bioroid​**, because [Awakening Center​](/en/card/03021) is only a legal location for ​**bioroid​** ice. If the ice is unrezzed, the Runner cannot demonstrate that the swap is legal. It does not matter if the ice was exposed earlier in the game or is otherwise known by the Runner; it only matters whether the Runner is allowed to see the ​**bioroid​** subtype at the time Tāo’s ability resolves. If a rezzed **bioroid​** is swapped this way, the Corp will not be able to pay the cost to force the Runner to encounter it with [Awakening Center​](/en/card/03021)​’s second ability unless another effect derezzes the ​**bioroid​**.","False"
"ayla_bios_rahim_simulant_specialist","2022-04-24","","When exactly does the Runner set aside cards with [Ayla “Bios” Rahim](https://netrunnerdb.com/en/card/31025), and how does the ability interact with taking a mulligan?","The Runner should set aside the cards after revealing IDs and shuffling their deck, before drawing any cards. After setting aside cards and shuffling again, the Runner draws a starting hand. If the Runner chooses to take a mulligan, the set aside cards are not affected in any way, as those cards are no longer in the deck.","True"
"ayla_bios_rahim_simulant_specialist","2022-04-24","","Can the Runner trash cards set aside with [Ayla “Bios” Rahim](https://netrunnerdb.com/en/card/31025) to use [Endless Hunger](https://netrunnerdb.com/en/card/09033)?","No, set aside cards are not installed.","True"
"azef_protocol","2022-11-20","","If the Corp trashes a card with a printed rez cost of 2 to pay the additional cost to score [Azef Protocol](/en/card/33058), can they use [Ob Superheavy Logistics](/en/card/33057) to install [Malapert Data Vault](/en/card/30066) into the root of the same server as the [Azef Protocol](/en/card/33058)? Can they then resolve [Malapert Data Vault](/en/card/30066)’s ability?","Yes and yes. When the Corp pays the additional cost to score [Azef Protocol](/en/card/33058), a checkpoint occurs before the score effect itself is resolved.  [Ob Superheavy Logistics](/en/card/33057) triggers at this checkpoint and resolves in time for [Malapert Data Vault](/en/card/30066) to be active when its trigger condition is met.","True"
"azef_protocol","2022-11-20","","Can the Corp use [Ob Superheavy Logistics](/en/card/33057) while resolving the additional cost on [Azef Protocol](/en/card/33058) to install an asset in the root of the same server as [Azef Protocol](/en/card/33058)?","It is not possible to do this and still score the [Azef Protocol](/en/card/33058). When the Corp pays the additional cost to score [Azef Protocol](/en/card/33058), a checkpoint occurs before the score effect itself is resolved.  [Ob Superheavy Logistics](/en/card/33057) triggers at this checkpoint and resolves fully before the game continues attempting to resolve scoring. If the Corp chooses to install an asset in the root of the server that currently contains [Azef Protocol](/en/card/33058), they must trash [Azef Protocol](/en/card/33058) as part of installing the asset. This is legal, but when the reaction window closes and the game proceeds, the score effect won't be able to find [Azef Protocol](/en/card/33058) because it is no longer installed.","True"
"azef_protocol","2022-11-20","","If the Corp has [Azef Protocol](/en/card/33058) with 2 advancement counters in the root of a server with a rezzed [SanSan City Grid](/en/card/31069), can they trash the [SanSan City Grid](/en/card/31069) to score the [Azef Protocol](/en/card/33058)?","No, trashing the [SanSan City Grid](/en/card/31069) would result in no longer meeting the requirement for scoring the [Azef Protocol](/en/card/33058).","True"
"azmari_edtech_shaping_the_future","2018-03-02","","####[ANCUR](https://twitter.com/anr_ruleswiki) [UFAQ 21](http://ancur.wikia.com/wiki/Council_of_the_Crest_UFAQ) [Michael Boggs]
If the Corp names ""event"" for the card type for Azmari EdTech, does the Corp still gain 2<span class=""icon icon-credit""></span> if the Runner plays [Employee Strike](/en/card/09053)?","No. Following the rules for playing events, ""when played"" abilities do not meet their trigger condition until the even in question is active in the play area. Employee Strike blanks Azmari EdTech as soon as it becomes active, so its ability is no longer active and cannot trigger.","False"
"backstitching","2022-09-10","","Does the Runner’s mark stay if all mark cards leave play, or does it leave and return when a new mark card comes into play?","When you identify your mark, that server becomes your mark for the turn, even if the card that instructed you to identify your mark leaves play. If an event instructs you to identify your mark, that server continues to be your mark for the remainder of the turn after that event resolves.","True"
"backstitching","2022-09-10","","If the Runner does not have a mark, and they install a card that says “When your turn begins, identify your mark.”, do they get a mark for the current turn?","No. The Runner only identifies a mark when an ability instructs them to.","True"
"backstitching","2022-09-10","","If the Runner has multiple “mark” cards, how do they identify their mark?","The first time each turn the Runner resolves an instruction to identify their mark, they will randomly choose a central server. That server becomes their mark for the entire turn. Resolving another instruction to identify their mark will have no effect.","True"
"backstitching","2022-09-10","","If the Runner encounters [Konjin](/en/card/26109) protecting their mark, and they are forced to encounter ice protecting a different server, can they trash [Backstitching](/en/card/33019) to bypass the ice that [Konjin](/en/card/26109) forced them to encounter?","Yes. The attacked server is still the Runner’s mark, so the forced encounter from [Konjin](/en/card/26109) still meets [Backstitching](/en/card/33019)’s trigger condition.","True"
"bacterial_programming","2018-02-02","","####[ANCUR](https://twitter.com/anr_ruleswiki) [UFAQ 20](http://ancur.wikia.com/wiki/Down_the_White_Nile_UFAQ) [Michael Boggs]
If the Runner steals Bacterial Programming from **R&D** with accesses remaining, what happens if the Corp uses the ability on Bacterial Programming?","The Runner continues accessing cards from R&D as normal, starting with whatever card is now on top of R&D, and proceeding down through as many cards as they have accesses remaining.

If the Runner steals Bacterial Programming from **HQ** with accesses remaining, what happens if the Corp uses the ability on Bacterial Programming to add any cards to HQ?","False"
"bad_times","2017-04-09","The Runner can choose which memory to lose (e.g., memory from
[Deep Red](/en/card/04042)). [Official FAQ]","","","False"
"bailiff","2017-05-02","","####UFAQ [Damon Stone]
If the Corp uses [Sub Boost](/en/card/07025) or [Sensei](/en/card/02034) to give Bailiff an additional subroutine, and the Runner uses [Breach](/en/card/05042) to break both subroutines at once, does the Corp gain 1<span class=""icon icon-credit""></span> or 2<span class=""icon icon-credit""></span>?","The Corp gains 2<span class=""icon icon-credit""></span>. Even though the Runner only triggered one ability, both subroutines were broken.","False"
"baklan_bochkin","2019-04-27","","####[NISEI](http://nisei.net) [Downfall Release Notes](http://nisei.net/products/Downfall/DFReleaseNotes#QandAforDownfall) [NISEI Rules Team]
Can the Runner use “Baklan” Bochkin to take a tag, even if they are not encountering a piece of ice?","Yes.

Can the Corp re-rez a piece of ice immediately after “Baklan” Bochkin derezzes it?","False"
"ballista","2021-10-11","","Who chooses whether to trash a program or end the run?","The Corp makes any choices in resolving subroutines unless the ability specifically directs the Runner to perform its effect.","True"
"bank_job","2017-04-08","The Runner can take credits from Bank Job if they made a
successful run on an empty server. [Official FAQ]","","","False"
"bazaar","2017-05-02","","####UFAQ [Damon Stone]
If the Runner has both Bazaar and [Replicator](/en/card/02088) installed, can they install all copies of a piece of hardware from Grip and Stack by installing the first copy?","Yes. Bazaar and Replicator meet their trigger condition simultaneously, so the Runner can choose to trigger Replicator first and then trigger Bazaar. The Runner may choose to repeat this process until there are no more copies of that hardware available to install.","False"
"bellona","2020-04-14","","####[NISEI](https://nisei.net) [Uprising Release Notes](https://nisei.net/files/Uprising_Release_Notes.pdf) [NISEI Rules Team]
Does the additional cost from Bellona meet GameNET's trigger condition?","Yes. There is not normally a cost to steal an agenda, so the Runner is paying a cost because of a Corp card ability.

If the Runner steals Bellona with 2 advancement counters on it while NAPD Cordon is active, how many different costs do they pay? How many times can the Corp trigger GameNET?","False"
"ben_musashi","2017-05-25","","####[ANCUR](https://twitter.com/anr_ruleswiki) UFAQ [Michael Boggs]
Can the Runner still steal an agenda if they prevent some or all of the net damage incurred by Ben Musashi?","If the Runner prevents even a single point of the net damage incurred by Ben Musashi, then they have not paid the additional cost to steal the agenda and therefore do not steal it.","False"
"berserker","2017-05-25","","####[ANCUR](https://twitter.com/anr_ruleswiki) UFAQ [Michael Boggs]
How long does the strength boost on Berserker last?","Like with typical strength boosts from icebreakers, Berserker resets at the end of each encounter.

If the Runner encounters a [Galahad](/en/card/06011), how much strength does Berserker gain?","False"
"best_defense","2018-02-13","","####[ANCUR](https://twitter.com/anr_ruleswiki) [UFAQ 20](http://ancur.wikia.com/wiki/Down_the_White_Nile_UFAQ) [Michael Boggs]
Can Best Defense trash facedown Runner cards?","No. Facedown Runner cards do not have install costs.","False"
"best_defense","2018-02-13","","####[ANCUR](https://twitter.com/anr_ruleswiki) [UFAQ 10](http://ancur.wikia.com/wiki/Intervention_UFAQ) [Michael Boggs]
Can Best Defense trash a Corp card?","No.","False"
