"codename","en_title","cn_title","stripped_title","en_text","cn_text","stripped_text","advancement_requirement","agenda_points","attribution","base_link","type_codename","subtype_codenames","cost","deck_limit","designed_by","faction_codename","influence_cost","influence_limit","is_unique","memory_cost","minimum_deck_size","pronouns","pronunciation_approx","pronunciation_ipa","side_codename","strength","trash_cost"
"accelerated_beta_test","Accelerated Beta Test","加速版本测试","Accelerated Beta Test","When you score Accelerated Beta Test, you may look at the top 3 cards of R&D. If any of those cards are ice, you may install and rez them, ignoring all costs. Trash the rest of the cards you looked at.","当你用加速版本测试计分时，你可以查看研发中心顶端的三张卡牌。如果其中有任何防火墙，你可以安装并激活它们，忽略所有的费用。销毁余下你所查看的卡牌。","When you score Accelerated Beta Test, you may look at the top 3 cards of R&D. If any of those cards are ice, you may install and rez them, ignoring all costs. Trash the rest of the cards you looked at.","3","2","","","agenda","[""research""]","","3","fantasy_flight_games","haas_bioroid","","","False","","","","","","corp","",""
"accelerated_diagnostics","Accelerated Diagnostics","加速诊断","Accelerated Diagnostics","Look at the top 3 cards of R&D. If any of those cards are operations, you may play them (paying their play cost), ignoring any additional costs. Trash the rest of the unplayed cards you looked at.","查看研发中心顶端的三张卡牌。如果其中有任何事务，你可以打出它们（支付它们的打出费用），忽略任何额外的费用。销毁余下你所查看的未打出的卡牌。","Look at the top 3 cards of R&D. If any of those cards are operations, you may play them (paying their play cost), ignoring any additional costs. Trash the rest of the unplayed cards you looked at.","","","","","operation","","1","3","fantasy_flight_games","haas_bioroid","1","","False","","","","","","corp","",""
"access_to_globalsec","Access to Globalsec","接入全球保卫组","Access to Globalsec","+1[link]","+1[link]","+1 link","","","","","resource","[""link""]","1","3","fantasy_flight_games","neutral_runner","0","","False","","","","","","runner","",""
"account_siphon","Account Siphon","账户虹吸","Account Siphon","Run HQ. If successful, instead of breaching HQ, you may force the Corp to lose up to 5[credit], then you gain 2[credit] for each credit lost and take 2 tags.","对总部进行一次潜袭。如果成功，你可以迫使公司失去最多5[credit]，代替读取卡牌，然后拿取2枚锁定标记，并且公司每失去1信用点你获得2[credit]。","Run HQ. If successful, instead of breaching HQ, you may force the Corp to lose up to 5 credits, then you gain 2 credits for each credit lost and take 2 tags.","","","","","event","[""run"", ""sabotage""]","0","3","fantasy_flight_games","criminal","4","","False","","","","","","runner","",""
"acme_consulting_the_truth_you_need","Acme Consulting: The Truth You Need","","Acme Consulting: The Truth You Need","The Runner is considered to have 1 additional tag (even if they have 0) during encounters with the outermost piece of ice protecting any server.","","The Runner is considered to have 1 additional tag (even if they have 0) during encounters with the outermost piece of ice protecting any server.","","","","","corp_identity","[""subsidiary""]","","1","fantasy_flight_games","nbn","","15","False","","45","","","","corp","",""
"active_policing","Active Policing","实时监管","Active Policing","Play only if the Runner stole or trashed a Corp card during their last turn.
After you resolve this operation, your action phase ends.
You may install 1 card from HQ. The Runner gets −1 allotted [click] for their next turn.
Threat 3 → You may pay 2[credit]. If you do, the Runner gets −1 allotted [click] for their next turn. <em>(This ability is active if any player has 3 or more agenda points.)</em>","只有潜袭者在其上回合窃取或销毁过公司卡牌时，才能打出。
在你结算本事务后，结束你的行动阶段。
你可以从总部安装1张卡牌。潜袭者在其下回合获得的[click]数量-1。
威胁3 → 你可以支付2[credit]。如果你如此做，潜袭者在其下回合获得的[click]数量-1。<em>（本能力在任一玩家有3点或更多议案分数时生效。）</em>","Play only if the Runner stole or trashed a Corp card during their last turn. After you resolve this operation, your action phase ends. You may install 1 card from HQ. The Runner gets -1 allotted click for their next turn. Threat 3 -> You may pay 2 credits. If you do, the Runner gets -1 allotted click for their next turn. (This ability is active if any player has 3 or more agenda points.)","","","","","operation","[""terminal"", ""gray_ops""]","0","3","null_signal_games","haas_bioroid","3","","False","","","","","","corp","",""
"activist_support","Activist Support","激进者的援助","Activist Support","When the Corp's turn begins, take 1 tag if you have no tags.
When your turn begins, give the Corp 1 bad publicity if they have no bad publicity.","当公司的回合开始时，如果你没有锁定标记，拿取1枚锁定标记。
当你的回合开始时，如果公司没有负面声誉标记，给予公司1枚负面声誉标记。","When the Corp's turn begins, take 1 tag if you have no tags. When your turn begins, give the Corp 1 bad publicity if they have no bad publicity.","","","","","resource","","1","3","fantasy_flight_games","anarch","2","","False","","","","","","runner","",""
"ad_blitz","Ad Blitz","广告闪电战","Ad Blitz","As an additional cost to play this operation, spend [click].
Install and rez (paying all costs) X <strong>advertisements</strong> from Archives and/or HQ, if able.","作为打出本事务的额外费用，花费[click]。
如可能，从档案库和/或总部安装并激活（支付所有的费用）X个<strong>广告</strong>。","As an additional cost to play this operation, spend click. Install and rez (paying all costs) X advertisements from Archives and/or HQ, if able.","","","","","operation","[""double""]","","3","fantasy_flight_games","nbn","1","","False","","","","","","corp","",""
"adam_compulsive_hacker","Adam: Compulsive Hacker","亚当: 强迫性黑客","Adam: Compulsive Hacker","You start the game with 3 different <strong>directive</strong> cards installed (these cards are not considered part of your deck).","你游戏开始时具有三张已安装的不同的<strong>指令</strong>卡牌（这些卡牌不视为你牌组的一部分）。","You start the game with 3 different directive cards installed (these cards are not considered part of your deck).","","","","0","runner_identity","[""bioroid""]","","1","fantasy_flight_games","adam","","25","False","","45","","","","runner","",""
"adept","Adept","","Adept","This program gets +1 strength for each unused MU.
Interface → <strong>2[credit]:</strong> Break 1 <strong>sentry</strong> or <strong>barrier</strong> subroutine.","","This program gets +1 strength for each unused MU. Interface -> 2 credits: Break 1 sentry or barrier subroutine.","","","","","program","[""icebreaker"", ""fracter"", ""killer""]","5","3","fantasy_flight_games","shaper","3","","False","2","","","","","runner","2",""
"adjusted_chronotype","Adjusted Chronotype","调正时型","Adjusted Chronotype","The first time each turn you lose [click] except by paying the trigger cost of a paid ability, gain [click].","每回合你第一次失去[click]时，获得[click]。","The first time each turn you lose click except by paying the trigger cost of a paid ability, gain click.","","","","","resource","[""genetics""]","3","3","fantasy_flight_games","anarch","2","","True","","","","","","runner","",""
"adjusted_matrix","Adjusted Matrix","调整矩阵","Adjusted Matrix","Install only on an <strong>icebreaker</strong>.
Host <strong>icebreaker</strong> gains <strong>AI</strong> and ""Interface → <strong>Lose [click]:</strong> Break 1 subroutine.""","将调整矩阵安装到一个<strong>破解器</strong>上。被附载的<strong>破解器</strong>获得<strong>智能模块</strong>和“[click]: 破解防火墙子进程。”","Install only on an icebreaker. Host icebreaker gains AI and ""Interface -> Lose click: Break 1 subroutine.""","","","","","hardware","[""mod""]","5","3","fantasy_flight_games","shaper","2","","False","","","","","","runner","",""
"adonis_campaign","Adonis Campaign","","Adonis Campaign","Put 12[credit] from the bank on Adonis Campaign when rezzed. When there are no credits left on Adonis Campaign, trash it.
Take 3[credit] from Adonis Campaign when your turn begins.","","Put 12 credits from the bank on Adonis Campaign when rezzed. When there are no credits left on Adonis Campaign, trash it. Take 3 credits from Adonis Campaign when your turn begins.","","","","","asset","[""advertisement""]","4","3","fantasy_flight_games","haas_bioroid","2","","False","","","","","","corp","","3"
"adrian_seis","Adrian Seis","阿德里安·赛斯","Adrian Seis","Whenever the Runner makes a successful run on this server, play a Psi Game. <em>(Players secretly bid 0–2[credit]. Then each player reveals and spends their bid.)</em> If the bids differ, the Runner cannot access cards other than this upgrade for the remainder of that run. If the bids match, the Runner cannot access this upgrade for the remainder of that run.
When your turn ends, you may move this upgrade to the root of another server.","每当潜袭者对本服务器进行一次成功的潜袭时，进行一次灵能博弈。<em>（双方玩家秘密决定0-2的数值，然后同时宣告并花费所声明数值的[credit]。）</em>如果二者数值不同，在本次潜袭的剩余时间内，潜袭者不能读取除本升级以外的卡牌。如果二者数值相同，在本次潜袭的剩余时间内，潜袭者不能读取本升级。
当你的回合结束时，你可以将本升级转移到另一台服务器的根目录。","Whenever the Runner makes a successful run on this server, play a Psi Game. (Players secretly bid 0-2 credits. Then each player reveals and spends their bid.) If the bids differ, the Runner cannot access cards other than this upgrade for the remainder of that run. If the bids match, the Runner cannot access this upgrade for the remainder of that run. When your turn ends, you may move this upgrade to the root of another server.","","","","","upgrade","[""psi"", ""clone"", ""sysop""]","0","3","null_signal_games","jinteki","4","","True","","","","SEY-is","ˈseɪs","corp","","2"
"advanced_assembly_lines","Advanced Assembly Lines","高级装配线","Advanced Assembly Lines","When you rez Advanced Assembly Lines, gain 3[credit].
[trash]: Install a non-agenda card from HQ (paying the install cost). You cannot use this ability during a run.","当你激活高级装配线时，获得3[credit]。
[trash]: 从总部安装一张非议案卡牌（支付安装费用）。你不能在一次潜袭中使用本能力。","When you rez Advanced Assembly Lines, gain 3 credits. trash: Install a non-agenda card from HQ (paying the install cost). You cannot use this ability during a run.","","","","","asset","[""facility""]","1","3","fantasy_flight_games","haas_bioroid","2","","False","","","","","","corp","","1"
"advanced_concept_hopper","Advanced Concept Hopper","超前概念飞跃车","Advanced Concept Hopper","The first time the Runner initiates a run each turn, you may draw 1 card or gain 1[credit].","每回合潜袭者第一次发起潜袭时，你可以补一张卡牌或获得1[credit]。","The first time the Runner initiates a run each turn, you may draw 1 card or gain 1 credit.","4","2","","","agenda","[""research""]","","3","fantasy_flight_games","haas_bioroid","","","False","","","","","","corp","",""
"aeneas_informant","Aeneas Informant","","Aeneas Informant","Whenever you access a card with a trash cost not in Archives and do not trash it, you may reveal it and gain 1[credit].","","Whenever you access a card with a trash cost not in Archives and do not trash it, you may reveal it and gain 1 credit.","","","","","resource","[""connection""]","0","3","fantasy_flight_games","criminal","1","","False","","","","","","runner","",""
"aesops_pawnshop","Aesop’s Pawnshop","伊索的典当铺","Aesop's Pawnshop","When your turn begins, you may trash 1 of your other installed cards. If you do, gain 3[credit].","当你的回合开始时，你可以销毁另1张你已安装的卡牌。如果你如此做，获得3[credit]。","When your turn begins, you may trash 1 of your other installed cards. If you do, gain 3 credits.","","","","","resource","[""connection"", ""location""]","1","3","fantasy_flight_games","shaper","2","","True","","","","","","runner","",""
"afshar","Afshar","阿夫沙尔","Afshar","While this ice is protecting HQ, the Runner cannot break more than 1 of its printed subroutines during each encounter.
[subroutine] The Runner loses 2[credit].
[subroutine] End the run.","只要本防火墙保护总部，潜袭者每次遭遇中便不能破解超过1条本防火墙上的印刷子进程。
[subroutine] 潜袭者失去2[credit]。
[subroutine] 终止本次潜袭。","While this ice is protecting HQ, the Runner cannot break more than 1 of its printed subroutines during each encounter. Subroutine The Runner loses 2 credits. Subroutine End the run.","","","","","ice","[""code_gate""]","3","3","null_signal_games","weyland_consortium","2","","False","","","","","","corp","1",""
"afterimage","Afterimage","残影","Afterimage","Whenever you encounter a <strong>sentry</strong>, you may pay 2[credit] to bypass it. Use this ability only once per turn and only by spending credits from <strong>stealth</strong> cards.
Interface → <strong>1[credit]:</strong> Break up to 2 <strong>sentry</strong> subroutines.
<strong>1[credit]:</strong> +2 strength. Use this ability only by spending a credit from a <strong>stealth</strong> card.","每当你遭遇一层<strong>警报</strong>时，你可以支付2[credit]以略过之。本能力每回合仅限使用一次，且仅能花费<strong>隐匿</strong>卡牌上的信用点来使用。
对接 → <strong>1[credit]:</strong> 破解最多2条<strong>警报</strong>子进程。
<strong>1[credit]:</strong> 强度+2。本能力仅能花费<strong>隐匿</strong>卡牌上的信用点来使用。","Whenever you encounter a sentry, you may pay 2 credits to bypass it. Use this ability only once per turn and only by spending credits from stealth cards. Interface -> 1 credit: Break up to 2 sentry subroutines. 1 credit: +2 strength. Use this ability only by spending a credit from a stealth card.","","","","","program","[""icebreaker"", ""killer""]","4","3","null_signal_games","criminal","3","","False","1","","","","","runner","2",""
"aggressive_negotiation","Aggressive Negotiation","强制谈判","Aggressive Negotiation","Play only if you scored an agenda this turn.
Search R&D for 1 card and add it to HQ. Shuffle R&D.","如果你本回合已用过一个议案计分，才能打出。
在研发中心搜寻一张卡牌并将其加入总部。将研发中心重洗。","Play only if you scored an agenda this turn. Search R&D for 1 card and add it to HQ. Shuffle R&D.","","","","","operation","","1","3","fantasy_flight_games","weyland_consortium","1","","False","","","","","","corp","",""
"aggressive_secretary","Aggressive Secretary","","Aggressive Secretary","Aggressive Secretary can be advanced.
If you pay 2[credit] when the Runner accesses Aggressive Secretary, trash 1 program for each advancement token on Aggressive Secretary.","","Aggressive Secretary can be advanced. If you pay 2 credits when the Runner accesses Aggressive Secretary, trash 1 program for each advancement token on Aggressive Secretary.","","","","","asset","[""ambush""]","0","3","fantasy_flight_games","haas_bioroid","2","","False","","","","","","corp","","0"
"aghora","Aghora","无惧","Aghora","Interface → <strong>1[credit]:</strong> Break 1 subroutine on a piece of ice that has a rez cost of 5 or greater.
<strong>1[credit]:</strong> +1 strength.
<strong>2[credit]:</strong> Swap this program with a <strong>deva</strong> program from your grip.","1[credit]: 破解激活费用等于或大于5的一层防火墙上的子进程。
1[credit]: 强度+1。
2[credit]: 将无惧与你操控器中的一个<strong>提婆</strong>程序互换。","Interface -> 1 credit: Break 1 subroutine on a piece of ice that has a rez cost of 5 or greater. 1 credit: +1 strength. 2 credits: Swap this program with a deva program from your grip.","","","","","program","[""icebreaker"", ""ai"", ""deva""]","5","3","fantasy_flight_games","anarch","2","","True","1","","","","","runner","2",""
"aginfusion_new_miracles_for_a_new_world","AgInfusion: New Miracles for a New World","灌注农业: 新世界的新奇迹","AgInfusion: New Miracles for a New World","<strong>Trash the unrezzed piece of ice the Runner is approaching:</strong> Choose a server other than the attacked server. The Runner moves to the outermost position of that server and encounters any ice there. Use this ability only once per turn.","每回合一次，你可以销毁一层被接驳的防火墙以选择另一台服务器，代替激活它。潜袭者现在开始对该服务器进行潜袭，并且如有最外层防火墙，则遭遇它。","Trash the unrezzed piece of ice the Runner is approaching: Choose a server other than the attacked server. The Runner moves to the outermost position of that server and encounters any ice there. Use this ability only once per turn.","","","","","corp_identity","[""division""]","","1","fantasy_flight_games","jinteki","","17","False","","45","","","","corp","",""
"aiki","Aiki","合气","Aiki","[subroutine] You and the Runner secretly spend 0[credit], 1[credit], or 2[credit]. Reveal spent credits. If you and the Runner spent a different number of credits, the Runner draws 2 cards.
[subroutine] Do 1 net damage.
[subroutine] Do 1 net damage.","[subroutine] 你和潜袭者秘密花费0[credit]，1[credit]或2[credit]。展示所花费的信用点。如果你和潜袭者花费了不同数量的信用点，潜袭者补两张卡牌。
[subroutine] 造成1点网域伤害。
[subroutine] 造成1点网域伤害。","Subroutine You and the Runner secretly spend 0 credits, 1 credit, or 2 credits. Reveal spent credits. If you and the Runner spent a different number of credits, the Runner draws 2 cards. Subroutine Do 1 net damage. Subroutine Do 1 net damage.","","","","","ice","[""code_gate"", ""psi"", ""ap""]","1","3","fantasy_flight_games","jinteki","2","","False","","","","","","corp","3",""
"aimor","Aimor","","Aimor","[subroutine] Trash the top 3 cards of the stack. Trash Aimor.","","Subroutine Trash the top 3 cards of the stack. Trash Aimor.","","","","","ice","[""trap""]","0","3","fantasy_flight_games","jinteki","2","","False","","","","","","corp","1",""
"airbladex_jsrf_ed","AirbladeX (JSRF Ed.)","天空之刃X（街头涂鸦未来版）","AirbladeX (JSRF Ed.)","When you install this hardware, load 3 power counters onto it. When it is empty, trash it.
[interrupt] → <strong>Hosted power counter:</strong> Prevent 1 net damage. Use this ability only during a run.
[interrupt] → <strong>Hosted power counter:</strong> Prevent a ""when encountered"" ability on a piece of ice.","当你安装本硬件时，填装3枚能量指示物到本硬件上。当其清空时，销毁之。
[interrupt] → <strong>所附载的能量指示物:</strong> 防止1点网域伤害。本能力仅能在潜袭中使用。
[interrupt] → <strong>所附载的能量指示物:</strong> 防止一层防火墙上的一项“遭遇时”能力。","When you install this hardware, load 3 power counters onto it. When it is empty, trash it. Interrupt -> Hosted power counter: Prevent 1 net damage. Use this ability only during a run. Interrupt -> Hosted power counter: Prevent a ""when encountered"" ability on a piece of ice.","","","","","hardware","[""vehicle""]","1","3","null_signal_games","shaper","1","","True","","","","","","runner","",""
"akamatsu_mem_chip","Akamatsu Mem Chip","","Akamatsu Mem Chip","+1[mu]","","+1 mu","","","","","hardware","[""chip""]","1","3","fantasy_flight_games","shaper","1","","False","","","","","","runner","",""
"akhet","Akhet","地平线","Akhet","You can advance this ice.
While there are 3 or more hosted advancement counters, this ice gets +3 strength and the Runner cannot break more than 1 of its printed subroutines during each encounter.
[subroutine] Gain 1[credit]. Place 1 advancement counter on an installed card.
[subroutine] End the run.","你可以推进本防火墙。
只要所附载的推进指示物有3枚或更多，本防火墙的强度+3，且每次遭遇中潜袭者不能破解超过1条本防火墙上的印刷子进程。
[subroutine] 获得1[credit]。放置1枚推进指示物到一张已安装的卡牌上。
[subroutine] 终止本次潜袭。","You can advance this ice. While there are 3 or more hosted advancement counters, this ice gets +3 strength and the Runner cannot break more than 1 of its printed subroutines during each encounter. Subroutine Gain 1 credit. Place 1 advancement counter on an installed card. Subroutine End the run.","","","","","ice","[""barrier""]","3","3","null_signal_games","weyland_consortium","2","","False","","","","","","corp","2",""
"akiko_nisei_head_case","Akiko Nisei: Head Case","","Akiko Nisei: Head Case","Whenever you breach R&D, you and the Corp secretly spend 0[credit], 1[credit], or 2[credit]. Reveal spent credits. If you and the Corp spent the same number of credits, access 1 additional card.","","Whenever you breach R&D, you and the Corp secretly spend 0 credits, 1 credit, or 2 credits. Reveal spent credits. If you and the Corp spent the same number of credits, access 1 additional card.","","","","1","runner_identity","[""clone""]","","1","fantasy_flight_games","shaper","","12","False","","45","","","","runner","",""
"akitaro_watanabe","Akitaro Watanabe","渡边秋太郎","Akitaro Watanabe","The rez cost of ice protecting this server is lowered by 2.","保护本服务器的防火墙的激活费用减2。","The rez cost of ice protecting this server is lowered by 2.","","","","","upgrade","[""sysop"", ""unorthodox""]","1","3","fantasy_flight_games","jinteki","2","","True","","","","","","corp","","3"
"akshara_sareen","Akshara Sareen","阿刹拉·萨林","Akshara Sareen","Each player gets +1 allotted [click] for each of their turns.","每位玩家在他/她的回合有一个额外的[click]用来花费。","Each player gets +1 allotted click for each of their turns.","","","","","resource","[""connection""]","0","3","fantasy_flight_games","neutral_runner","0","","True","","","","","","runner","",""
"alarm_clock","Alarm Clock","闹钟","Alarm Clock","When your turn begins, you may run HQ. The first time you encounter a piece of ice during that run, you may spend [click][click] to bypass it.","当你的回合开始时，你可以潜袭总部。本次潜袭中你第一次遭遇一层防火墙时，你可以花费[click][click]，以略过该防火墙。","When your turn begins, you may run HQ. The first time you encounter a piece of ice during that run, you may spend click click to bypass it.","","","","","hardware","","2","3","null_signal_games","criminal","4","","True","","","","","","runner","",""
"alexa_belsky","Alexa Belsky","艾里珊·别尔斯基","Alexa Belsky","[trash]: Shuffle all cards in HQ into R&D. The Runner may pay any number of credits to prevent 1 random card in HQ from being shuffled into R&D for every 2[credit] spent.","[trash]: 将总部中的所有卡牌洗入研发中心。潜袭者可以支付任意数量的信用点，并且其每支付2[credit]，防止总部中的一张随机卡牌被洗入研发中心。","trash: Shuffle all cards in HQ into R&D. The Runner may pay any number of credits to prevent 1 random card in HQ from being shuffled into R&D for every 2 credits spent.","","","","","asset","[""character""]","1","3","fantasy_flight_games","nbn","2","","True","","","","","","corp","","5"
"algernon","Algernon","","Algernon","When your turn begins, you may pay 2[credit] to gain [click]. If you do, trash Algernon when your turn ends if you did not make a successful run this turn.","","When your turn begins, you may pay 2 credits to gain click. If you do, trash Algernon when your turn ends if you did not make a successful run this turn.","","","","","program","","0","3","fantasy_flight_games","adam","5","","True","1","","","","","runner","",""
"algo_trading","Algo Trading","算法交易","Algo Trading","When your turn begins, you may move up to 3[credit] from your credit pool to Algo Trading.
When your turn begins, place 2[credit] on Algo Trading from the bank if there are at least 6[credit] on it.
[click],[trash]: Take all credits from Algo Trading.","当你的回合开始时，你可以从你的信用池中转移最多3[credit]到算法交易上。
当你的回合开始时，如果算法交易具有至少6[credit]，从银行中放置2[credit]到本卡牌上。
[click], [trash]: 从算法交易上拿取所有的信用点。","When your turn begins, you may move up to 3 credits from your credit pool to Algo Trading. When your turn begins, place 2 credits on Algo Trading from the bank if there are at least 6 credits on it. click,trash: Take all credits from Algo Trading.","","","","","resource","[""job""]","0","3","fantasy_flight_games","shaper","1","","False","","","","","","runner","",""
"alias","Alias","化名","Alias","Interface → <strong>1[credit]:</strong> Break 1 <strong>sentry</strong> subroutine.
<strong>2[credit]:</strong> +3 strength.
This program cannot interface with ice protecting a remote server.","1[credit]: 破解 <strong>警报</strong>子进程。
2[credit]: 强度+3。
化名不能对保护远程服务器的防火墙使用。","Interface -> 1 credit: Break 1 sentry subroutine. 2 credits: +3 strength. This program cannot interface with ice protecting a remote server.","","","","","program","[""icebreaker"", ""killer""]","3","3","fantasy_flight_games","criminal","2","","False","1","","","","","runner","1",""
"alice_merchant_clan_agitator","Alice Merchant: Clan Agitator","爱丽丝·默切特: 部落煽动者","Alice Merchant: Clan Agitator","The first time you make a successful run on Archives each turn, the Corp must trash 1 card from HQ.","每回合你第一次对档案库进行成功的潜袭时，公司必须从总部销毁一张卡牌。","The first time you make a successful run on Archives each turn, the Corp must trash 1 card from HQ.","","","","0","runner_identity","[""cyborg""]","","1","fantasy_flight_games","anarch","","15","False","","50","","","","runner","",""
"alix_t4lb07","Alix T4LB07","阿历克斯T4LB07","Alix T4LB07","Place 1 power counter on Alix T4LB07 whenever you install a card.
[click],[trash]: Gain 2[credit] for each power counter on Alix T4LB07.","每当你安装一张卡牌时，放置1枚能量指示物到阿历克斯T4LB07上。
[click], [trash]: 阿历克斯T4LB07上每有1枚能量指示物，获得2[credit]。","Place 1 power counter on Alix T4LB07 whenever you install a card. click,trash: Gain 2 credits for each power counter on Alix T4LB07.","","","","","asset","[""bioroid""]","1","3","fantasy_flight_games","haas_bioroid","1","","True","","","","","","corp","","2"
"all_nighter","All-nighter","","All-nighter","[click], [trash]: Gain [click][click].","","click, trash: Gain click click.","","","","","resource","","0","3","fantasy_flight_games","shaper","2","","False","","","","","","runner","",""
